userId,firstName,lastName,username,password,isActive,specialization
cbe1dbb4-e21a-499e-8043-c83610ace070,Robert,Allen,Robert.Allen,QIRrC1ji2p,true,Cardio
50af5abf-0adf-4c75-96a3-366f8baea63a,Linda,Young,Linda.Young,6tcHeKRoNb,true,Strength
7a5bba98-62eb-45b7-8c5d-a8dd44ca4888,William,King,William.King,kh70DP46cC,true,Yoga
cfa60bf3-52aa-4191-8eaf-59ca239e3ae1,Natalie,Wright,Natalie.Wright,TZW5K27hOX,true,CrossFit
41d9a239-b2fc-4886-b362-670b2bb1ca48,Andrew,Scott,Andrew.Scott,m3ahYiV6AQ,true,Pilates
9f7e68cc-3f51-444b-a56a-620173a832c7,Julia,Green,Julia.Green,vICzcKmpU9,true,Boxing
1e5eab38-d242-45e4-a6dc-c3e23b964cde,Thomas,Adams,Thomas.Adams,lR68OPIEnJ,true,Swimming
5cb8945b-2d9e-410e-8b00-dbd20937ef47,Karen,Baker,Karen.Baker,Zwsd32qfxN,true,Cycling
a75a7fa9-2fe3-44e7-a058-44df0e743bfb,Daniel,Nelson,Daniel.Nelson,2BtiWTZJjM,true,HIIT
df0b9777-0dba-4dad-a270-48fef58cd02b,Laura,Carter,Laura.Carter,6HqAmcfVbG,true,Stretching
